metric,value_ms
mean,467.742195
median,467.696181
p95,468.245325
min,466.531650
max,470.831909
std,0.935272

run_index,latency_ms,score,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
1,467.370977,0.596114695,-37.760429382,-33.560283661,410.769897461,2.817838364,0.696161467,1.230169747
2,468.060299,0.858015776,-40.105800629,-40.458423615,422.519622803,2.952354870,-0.171735566,1.455523778
3,467.541375,0.674916804,-41.320098877,-39.583499908,418.791473389,2.932331691,-0.052451620,1.444581026
4,467.847191,0.846890748,-40.807991028,-42.792858124,420.550506592,1.174651926,-1.425073837,-2.763123864
5,467.750129,0.837156415,-39.878154755,-40.286083221,425.876525879,2.960208280,0.043255897,1.422160450
6,470.775118,0.743520975,-40.630893707,-39.637081146,425.938293457,2.926435489,-0.050998526,1.393721099
7,467.125776,0.875630379,-42.719429016,-46.285636902,426.714569092,0.450334393,0.644412813,-1.286280713
8,468.054603,0.470494866,-35.127658844,-47.507545471,421.908691406,-2.148908321,1.351478162,-0.741344008
9,467.884535,0.757427216,-39.355869293,-38.004882812,413.741943359,2.936652507,0.012914039,1.431719915
10,466.799470,0.739349067,-39.118793488,-38.840652466,414.545471191,2.093725902,-1.386082417,2.569105423
11,467.437540,0.846890748,-40.538295746,-43.995021820,426.760162354,2.961019103,-0.277478554,1.509943555
12,468.245325,0.906687677,-41.114826202,-40.981037140,425.756072998,2.882002349,0.094933586,1.345843245
13,467.295744,0.584526122,-31.714551926,-25.538906097,382.250946045,-0.266233878,-0.369561157,1.718814630
14,467.708777,0.792192817,-38.375694275,-37.018188477,419.280120850,2.889257698,0.482298556,1.338686957
15,467.467835,0.359244853,-38.602821350,-36.473148346,417.067504883,2.989243996,0.125807983,1.413117733
16,467.054014,0.886755347,-40.369392395,-47.254604340,426.373321533,2.942366908,-0.063032695,1.416891817
17,468.178426,0.453807354,-40.940200806,-38.855125427,419.322235107,2.938116103,-0.122072255,1.443696969
18,467.790859,0.915031374,-40.511188507,-39.318519592,424.250549316,2.876531008,0.115282039,1.305437760
19,467.221038,0.852453291,-39.518604279,-47.022502899,418.918243408,-0.521068593,1.348056262,0.993776649
20,466.531650,0.794974089,-40.504302979,-39.029651642,422.834075928,2.982483796,-0.254913273,1.494858797
21,467.981850,0.661010504,-39.408840179,-41.445770264,419.141784668,2.977767884,-0.220584669,1.471392618
22,466.862746,0.782458484,-38.871555328,-37.253292084,414.628326416,2.987994571,-0.194878608,1.480132250
23,467.797349,0.835765779,-40.916233063,-35.195648193,422.762084961,0.279049320,0.137006500,-1.459175828
24,466.563182,0.724052191,-40.531627655,-39.899963379,418.675354004,1.468834517,-1.439105380,-3.068797171
25,467.835210,0.925692856,-41.375877380,-41.677154541,425.785522461,0.352037282,-0.034266422,-1.595825380
26,468.006291,0.704119921,-38.123153687,-35.194076538,412.610931396,2.890699698,0.449666488,1.325134798
27,467.461669,0.805635571,-40.721015930,-41.089141846,421.238159180,2.824014937,0.242291183,1.276297132
28,467.683586,0.841791809,-40.480506897,-45.737976074,426.502471924,2.963128223,0.020262376,1.441985608
29,467.101387,0.895099103,-40.070095062,-42.944629669,426.583557129,2.882836534,-0.241849229,1.485798160
30,470.831909,0.263291717,-38.497001648,-34.873043060,400.849822998,2.877327448,-0.192228575,1.484423931
